Site,Class,Image,Shapefile,Avg_BV_Band1,Avg_BV_Band2,Avg_BV_Band3
0,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,85403.078125,88778.140625,137135.640625
1,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,83980.296875,68692.53125,147491.5
2,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,73418.953125,53151.1914063,139654.359375
3,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,68647.328125,54067.890625,147491.5
4,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,75927.7421875,54067.890625,161542.859375
5,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,79852.578125,59909.8242188,173741.84375
6,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,64185.8125,52250.03125,116416.0625
7,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,119507.859375,98370.453125,204664.1875
8,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,82581.2109375,63063.3945313,173741.84375
9,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,77214.109375,54067.890625,167531.34375
10,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,78522.2578125,60943.0898438,147491.5
11,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,75927.7421875,53151.1914063,183491.890625
12,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,106248.65625,84338.671875,158629.375
13,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,97688.3359375,76114.6328125,224162.328125
14,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,115559.109375,93451.3046875,167531.34375
15,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,85403.078125,61994.1796875,134662.34375
16,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,96060.8828125,103548.539063,173741.84375
17,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,81205.4375,60943.0898438,167531.34375
18,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,69810.34375,50493.2929688,142219.34375
19,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,70993.0625,69877.2734375,122949.109375
20,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,70993.0625,74824.1328125,120731.671875
21,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,28179.1445313,25478.640625,44370.3085938
22,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,44353.0820313,35867.8203125,87005.4296875
23,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,35651.1757813,26819.8027344,65024.9140625
24,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,27709.6894531,23390.7460938,42012.640625
25,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,62064.9960938,42556.8359375,139654.359375
26,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,62064.9960938,51364.1523438,139654.359375
27,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,74662.8125,58894.0742188,164509.859375
28,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,67503.6875,50493.2929688,170608.34375
29,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,64185.8125,47968.3046875,158629.375
30,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,83980.296875,58894.0742188,216149.546875
31,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,42173.0820313,31281.9257813,85436.25
32,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,89817.7109375,64151.0507813,245518.0625
33,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,108048.710938,73555.5234375,164509.859375
34,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,40779.609375,33496.484375,82382.2890625
35,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,78522.2578125,66382.96875,197348.359375
36,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,92886.859375,63063.3945313,220119.484375
37,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,75927.7421875,56913.9492188,186862.015625
38,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,67503.6875,47968.3046875,125207.265625
39,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,24224.9277344,19714.2265625,39780.2460938
40,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,45868.6640625,35259.6953125,106289.921875
41,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,72195.8203125,41835.3007813,155768.4375
42,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,77214.109375,59909.8242188,147491.5
43,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,56113.8242188,42556.8359375,147491.5
44,Aquatics,dec2014Rad25,Aquatics_Class_300_dec2014,49056.9648438,32928.5625,93575.6796875
