Site,Class,Image,Shapefile,Avg_BV_Band1,Avg_BV_Band2,Avg_BV_Band3
106,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,17604.9863281,10835.6376953,31398.8261719
107,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,30648.453125,17193.65625,47720.9492188
108,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,10998.7558594,7312.17285156,15723.7216797
109,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,21902.0917969,13078.1181641,38358.2851563
110,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,38775.25,20751.9550781,82382.2890625
111,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,14634.5058594,7829.82763672,19920.921875
112,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,10998.7558594,7312.17285156,18522.2089844
113,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,12165.2333984,8528.73046875,19920.921875
114,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,22650.5058594,13766.5332031,35021.7929688
115,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,26794.1113281,14741.1142578,62700.5664063
116,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,29635.7734375,16333.8642578,63852.1640625
117,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,28656.5546875,15253.9804688,57246.7304688
118,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,29635.7734375,16902.1445313,62700.5664063
119,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,31167.6953125,17791.8496094,71219.7734375
120,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,6644.45166016,4768.54150391,8624.18554688
121,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,38129.2695313,20751.9550781,83895.375
122,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,30137.859375,18098.7070313,53227.25
123,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,29635.7734375,16056.9296875,52267.2773438
124,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,35057.2421875,18728.3886719,78004.8125
