Site,Class,Image,Shapefile,Avg_BV_Band1,Avg_BV_Band2,Avg_BV_Band3
0,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,206,179,245
1,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,198,170,235
2,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,111,101,138
3,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,199,182,229
4,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,78,69,99
5,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,196,167,233
6,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,142,105,175
7,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,136,123,166
8,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,129,116,154
9,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,173,152,207
10,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,169,137,206
11,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,201,153,254
12,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,83,65,111
13,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,108,89,133
14,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,131,109,172
15,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,157,130,200
16,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,169,144,213
17,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,137,112,168
18,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,102,94,112
19,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,135,109,165
20,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,132,108,153
21,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,64,55,81
22,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,85,71,102
23,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,166,136,208
24,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,84,73,101
25,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,132,108,149
26,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,128,110,150
27,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,137,118,168
28,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,120,104,145
29,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,160,137,196
30,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,101,86,123
31,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,102,88,123
32,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,145,121,158
33,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,96,86,92
34,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,144,110,163
35,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,98,86,109
36,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,149,121,158
37,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,79,66,110
38,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,126,103,155
39,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,101,87,123
40,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,196,168,233
41,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,96,82,127
42,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,190,157,222
43,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,148,128,179
44,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,102,96,114
45,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,125,110,153
46,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,136,122,159
47,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,89,84,107
48,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,89,77,117
49,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,139,115,164
50,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,118,92,142
51,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,176,140,214
52,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,124,95,155
53,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,142,117,165
54,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,155,121,180
55,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,97,75,123
56,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,125,96,133
57,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,76,63,96
58,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,118,102,129
59,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,158,132,187
60,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,78,66,93
61,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,71,54,94
62,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,135,106,173
63,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,122,97,167
64,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,47,47,64
65,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,138,111,172
66,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,92,77,107
67,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,134,108,174
68,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,168,129,214
69,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,160,134,197
70,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,83,74,84
71,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,131,101,175
72,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,141,110,146
73,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,103,80,140
74,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,104,89,136
75,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,131,104,140
76,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,95,87,115
77,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,124,109,143
78,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,58,47,61
79,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,105,87,141
80,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,98,82,135
81,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,67,58,95
82,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,91,76,104
83,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,65,49,100
84,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,62,52,103
85,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,91,77,99
86,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,99,81,117
87,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,153,127,193
88,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,58,51,82
89,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,74,57,114
90,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,110,83,148
91,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,103,87,126
92,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,119,97,148
93,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,179,154,212
94,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,124,111,138
95,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,195,172,232
96,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,175,155,216
97,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,102,78,135
98,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,143,114,167
99,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,82,67,91
100,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,131,108,148
101,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,129,111,135
102,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,130,107,151
103,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,128,100,145
104,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,137,122,164
105,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,163,145,198
106,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,110,92,139
107,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,143,119,162
108,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,82,69,101
109,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,123,103,150
110,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,157,130,192
111,Aquatics,dec2015BV25,Aquatics_Class_300_dec2015,99,73,114
